epoch;acc;loss;val_acc;val_loss
0;0.593;0.6676544986963272;0.62148595;0.6542863311767578
1;0.705375;0.5670283849835396;0.7374498;0.5446486997604371
2;0.7720625;0.48214278420805934;0.8077309;0.4119036399126053
3;0.79525;0.44293332323431966;0.8330823;0.3832288187742233
4;0.8201875;0.4003372941017151;0.8376004;0.37840059304237367
5;0.839125;0.36589195174723865;0.8451305;0.35787157428264615
6;0.8520625;0.344256937623024;0.8682229;0.3464296513199806
7;0.8566875;0.32890543855726717;0.83684736;0.4744637938737869
8;0.8686875;0.31055255728960035;0.8370984;0.3705832886695862
9;0.869;0.3060985179543495;0.8195281;0.488831050992012
10;0.8753125;0.298586797632277;0.8378514;0.5751944795250893
11;0.87275;0.3038241682909429;0.85240966;0.3513162787854672
12;0.88525;0.2848199018239975;0.84161645;0.4021444665789604
13;0.88;0.28719920630007983;0.872992;0.3297342736721039
14;0.8835625;0.2805588121712208;0.86019075;0.38714845725893976
15;0.87975;0.30886142767220737;0.87173694;0.420920031696558
16;0.8810625;0.29509219923615454;0.89006025;0.4127883748412132
17;0.8834375;0.28447386864572766;0.86495984;0.43886145496368406
18;0.8846875;0.2869808121994138;0.8888052;0.5273485009968281
19;0.8884375;0.2890597064830363;0.87776107;0.3835601705312729
20;0.8731875;0.3052462809309363;0.88077307;0.4119244439303875
21;0.882;0.29461513318121435;0.88579315;0.3378691792488098
22;0.8771875;0.31247353841364384;0.86495984;0.401990097284317
23;0.8793125;0.29722373332083224;0.8870482;0.35737762071564794
24;0.88375;0.29151172073557974;0.8810241;0.30577640879154205
